use_keyword,latin_name_search,common_name_search,edibility_rating_search,medicinal_rating_search,plant_url,Care Requirements,Common Name,Common Names,Cultivation Details,Edibility Rating,Edible Uses,Family,Image URLs,Known Hazards,Medicinal Properties,Medicinal Rating,Native Range,Other Uses,Other Uses Rating,Propagation,Range,Scientific Name,Special Uses,Summary,USDA hardiness,Weed Potential
Tonic,Eupatorium purpureum,Gravel Root,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Eupatorium purpureum,Fully Hardy; Moist Soil; Full sun; Semi-shade,Gravel Root,Gravel Root,"Landscape Uses:Border, Massing, Specimen, Woodland garden. Succeeds in ordinary garden soil that is well-drained but moisture retentive in sun or part shade[200]. Plants can be grown in quite coarse grass, which can be cut annually in the autumn[233]. A very cold-hardy plant, tolerating temperatures down to about -25°c[187]. The bruised leaves have a vanilla-like odour[213]. Plants seem to be immune to the predations of rabbits[233]. Butterflies are attracted to this plant[187]. Special Features:North American native, Fragrant foliage, Naturalizing, Wetlands plant, Attracts butterflies, Suitable for cut flowers. In garden design, as well as the above-ground architecture of a plant, root structure considerations help in choosing plants that work together for their optimal soil requirements including nutrients and water. The root pattern is clumping, giving the plant a clumping habit. The predictable growth behaviour makes it easier to maintain without having to apply containment methods[2-1].",1,Edible Parts: Edible Uses: Salt The roots have been burnt and their ashes used as salt to flavour foods[257].,Asteraceae or Compositae,../Admin/PlantImages/EupatoriumPurpureum.gif; ../Admin/PlantImages/EupatoriumPurpureum2.gif,None known,Astringent; Diuretic; Nervine; Tonic; Urinary,3,"NORTHERN AMERICA: Canada (Ontario), United States (Connecticut, Indiana, Massachusetts, Michigan (south), New Hampshire (southwest), New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Vermont (south), West Virginia, Illinois, Iowa, Kansas (east), Minnesota (southeast), Missouri, Nebraska (east), Oklahoma (east), Wisconsin, Alabama (north), Arkansas, Delaware, Florida (northwest), Georgia, Kentucky, Louisiana (north), Maryland, Mississippi (north), North Carolina, South Carolina, Tennessee, Virginia)",Dye Straw The stems have been used as straws[257]. The fruits yield a pink or red textile dye[268].,2,"Seed - sow spring in a cold frame and only just cover the seed. Prick out the seedlings into individual pots when they are large enough to handle and plant them out into their permanent positions in the summer. Division in spring or autumn[111]. Very easy, the clumps can be replanted direct into their permanent positions.","Eastern N. America - New Hampshire to Minnesota, south to Florida and Oklahoma[187]..",Eupatorium purpureum - L.,Attracts Wildlife Food Forest,"Bloom Color: Purple, White. Main Bloom Time: Early fall, Late summer. Form: Upright or erect.",3-9,No
Tonic,Euphrasia officinalis,Eyebright,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Euphrasia officinalis,Fully Hardy; Moist Soil; Full sun; Semi-shade,Eyebright,Eyebright,"Succeeds in most soils, preferring chalk or limestone[200]. Eyebright is a semi-parasitic plant, growing on the roots of various species of grass[4] and also on Trifolium pratense and Plantago species[238]. The grass does not seem to suffer unduly from this parasitism since eyebright is an annual and its cells do not penetrate very deeply into the grass[4]. There is some doubt over the validity of the name of this species, some botanists now call it Euphrasia rostkoviana. Eyebright is a variable aggregate species, some botanists divide it into a number of different species[1, 50]. Only those forms of eyebright which have glandular hairs on the calyx possess medicinal qualities[268]. It hybridizes freely with other members of this genus[200].",1,Edible Parts: Leaves Edible Uses: Leaves - raw[7]. They are occasionally used in salads for their slightly bitter flavour[7].,Scrophulariaceae,../Admin/PlantImages/EuphrasiaOfficinalis.gif; ../Admin/PlantImages/EuphrasiaOfficinalis2.gif,"Use for eye conditions currently not recommended. Adverse effects include: mental confusion, headaches, eye pressure, redness and swelling of the eye if 10-60 lotion drops used. Eye symptoms possibly followed by sensitivity to light, sneezing, nausea, constipation, cough, shortness of breath and increased passing of urine [301].",Antiinflammatory; Astringent; Digestive; Homeopathy; Ophthalmic; Tonic,3,"TEMPERATE ASIA: Turkey (northeast), Georgia EUROPE: Denmark, Finland, United Kingdom, Ireland, Sweden, Austria, Belgium, Switzerland, Czech Republic, Germany, Hungary, Netherlands, Poland, Slovakia, Russian Federation (European part), Belarus, Estonia, Lithuania, Latvia, Ukraine, Albania, Bulgaria, Bosnia and Herzegovina, Croatia, Italy, Romania, Serbia, Slovenia, Spain, France",None known,0,Sow the seed outdoors in situ in early spring amongst grass in a moist but not marshy soil[1].,"W. Europe, including Britain, to E. Asia.",Euphrasia officinalis - L.,,,5-9,No
Tonic,Euryale ferox,"Foxnut, Euryale",3,2,https://pfaf.org/user/Plant.aspx?LatinName=Euryale ferox,Water Plants; Frost Hardy; Full sun,"Foxnut, Euryale","Foxnut, Euryale","Management: Standard Regional Crop Staple Crop: Balanced carb A water plant, it requires a rich soil, preferably growing in still water[238]. It can be grown in still or slowly flowing water[200]. In cultivation in temperate greenhouses, the plant is often grown as an annual[200]. It requires about 0.75 cubic metres of root run[200]. This species is not very cold hardy. One report says that it succeeds in zone 8[200] which would mean that it tolerates temperatures down to between -5 and -10°c but this must be viewed with some doubt. It is unlikely to succeed outdoors in Britain, at least when grown as a perennial[K]. Frequently cultivated as an edible plant in China and India, the seeds are normally available in Chinatown markets in the West[183].",3,"Edible Parts: Fruit Seed Stem Edible Uses: Fruit[2]. Soft and pulpy, it is about the size of a small orange[2]. It is highly esteemed in China as a cooling tonic food[183]. Seed - fresh or dried[183, 200]. The seed is about the size of a pea, each fruit containing from 8 to 15 seeds[2]. The seed is usually roasted and then eaten[218]. It is also used as a source of starch[183]. A nutritional analysis is available[218]. Very young stalks and rhizomes[2, 183]. Rich in starch[2].",Nymphaeaceae,../Admin/PlantImages/EuryaleFerox.gif; ../Admin/PlantImages/EuryaleFerox2.gif,None known,Analgesic; Aphrodisiac; Astringent; Deobstruent; Oxytoxic; Tonic,2,"TEMPERATE ASIA: Russian Federation (Primorye), China (Anhui Sheng, Fujian Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hainan Sheng, Hebei Sheng, Heilongjiang Sheng, Henan Sheng, Hubei Sheng, Hunan Sheng, Jiangsu Sheng, Jiangxi Sheng, Jilin Sheng, Liaoning Sheng, Nei Mongol Zizhiqu, Shaanxi Sheng, Shandong Sheng, Shanxi Sheng, Sichuan Sheng, Yunnan Sheng, Zhejiang Sheng), Japan (Honshu, Kyushu), Korea, South, Taiwan TROPICAL ASIA: Bangladesh, India (Assam, Bihar, Jammu and Kashmir, Manipur, Meghalaya, Rajasthan, Tripura, Uttar Pradesh, West Bengal), Myanmar (north)",None known,0,"Seed - best sown as soon as it is ripe, the seed has a short viability and must not be allowed to become dry. Sow the seed in pots in a greenhouse at about 21°c and immerse the pots in water. As soon as they are large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for at least their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts.",E. Asia - China to N. India.,Euryale ferox - Salisb.,Carbon Farming,,7-10,No
Tonic,Exocarpus cupressiformis,Native Cherry,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Exocarpus cupressiformis,Moist Soil; Well drained soil; Full sun; Semi-shade,Native Cherry,Native Cherry,"We have very little information on this species and do not know if it will be hardy in this country. It is likely to require a light well-drained soil and a sunny sheltered position. It is a root parasite, we do not know which species it parasitizes. Plants spread by means of underground suckers, often forming clumps of seemingly disparate trees and shrubs[193].",2,"Edible Parts: Fruit Edible Uses: Fruit stalk - sweet and palatable when fully ripe, astringent otherwise[144, 154, 193]. It is eaten raw or made into preserves[2]. Rather small, it is about 4 - 6mm long[193].",Santalaceae,../Admin/PlantImages/noplantimage1.JPG; ../Admin/PlantImages/noplantimage2.JPG,One report says that the foliage might be poisonous[154].,Astringent; Bitter; Tonic,1,Coming Soon,"Tannin Wood The bark contains up to 15% tannin[154]. Wood - hard, tough, close-grained. Used for turnery, furniture etc[46, 154].",2,Seed - we have no information on this species but would recommend sowing it in spring in a warm greenhouse in a pot that contains a suitable host.,"Australia - New South Wales, Queensland, Tasmania, Victoria.",Exocarpus cupressiformis - Labill.,,,Coming soon,No
Tonic,Fabiana imbricata,Pichi,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Fabiana imbricata,Moist Soil; Frost Hardy; Full sun,Pichi,Pichi,"Succeeds in a sunny position in a light well-drained soil[200]. Plants are not very hardy in Britain, growing best in areas that receive little or no frost[200]. The cultivar 'Violacea' is generally faster growing and is somewhat hardier than the type, tolerating temperatures down to about -5°c[200].",0,None known,Solanaceae,../Admin/PlantImages/FabianaImbricata.gif; ../Admin/PlantImages/FabianaImbricata2.gif,None known,Cholagogue; Diuretic; Tonic; Urinary,2,SOUTHERN AMERICA: Chile,None known,0,"Seed - sow in a well-drained sandy soil in the greenhouse[200]. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for at least their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Greenwood cuttings, rooted with gentle bottom heat, summer in a cold frame[200].",S. America - Chile.,Fabiana imbricata - Ruiz.&Pav.,,,7-10,No
Tonic,Ferula assa-foetida,"Asafoetida - Devil's Dung. Hing (Indian), Asafetida",3,3,https://pfaf.org/user/Plant.aspx?LatinName=Ferula assa-foetida,Moist Soil; Frost Hardy; Full sun; Well drained soil,"Asafoetida - Devil's Dung. Hing (Indian), Asafetida","Asafoetida - Devil's Dung. Hing (Indian), Asafetida","Succeeds in most soils[1]. Prefers a deep fertile soil in a sunny position[200]. This species is not hardy in the colder areas of the country, it tolerates temperatures down to between -5 and -10°c[200]. Plants have a long taproot and are intolerant of root disturbance[200]. They should be planted into their final positions as soon as possible. Monocarpic, the plant takes some years before it flowers and dies after flowering[74]. In Britain, the plants usually flower after about 5 years[238]. The whole plant, especially when bruised, has an unpleasant smell like stale fish[245].",3,"Edible Parts: Leaves Root Shoots Edible Uses: Condiment Gum Leaves and young shoots - cooked as a vegetable[2, 4, 177, 183]. The plant has a foetid odour, but this disappears when it is boiled[2]. The cabbage-like folded heads are eaten raw as a delicacy[183]. Root - cooked[2, 4]. It needs to be steeped in order to remove a bitterness[74]. A starch extracted from the roots is used to make a porridge[74]. A gum-resin from the root is used as a food flavouring[171]. It is an essential ingredient of Worcester sauce, it is also used to flavour a wide range of dishes and drinks[183]. It is popular in natural food cuisine as a garlic substitute[183]. The resin obtained from this plant is probably the foulest-smelling of all herbs, with a sulphurous garlic-like odour[7, 238]. It is so nauseating to some people that it has been nicknamed 'dung of the devil'[7]. However, in judicious quantities it gives a surprisingly pleasant flavour to many foods[238].",Apiaceae or Umbelliferae,../Admin/PlantImages/FerulaAssa-foetida.gif; ../Admin/PlantImages/FerulaAssa-foetida2.gif,Do not use orally. Avoid during pregnancy as possible increased bleeding. Topical use may cause skin irritation [301].,Alterative; Antiperiodic; Antispasmodic; Aphrodisiac; Cardiotonic; Carminative; Deobstruent; Deodorant; Expectorant; Laxative; Parasiticide; Sedative; Stimulant; Tonic,3,TEMPERATE ASIA: Iran (south),"Deodorant Essential Gum Parasiticide A gum-resin is obtained from incisions in the roots and rhizomes[114]. The stem is removed at the end of the growing season, the root uncovered and a thin slice removed[74]. Another report says that the stem is removed as the plant starts to flower[238]. The gum exudes and hardens and a fresh slice is then made[74]. The gum should be stored in an air-tight container to prevent its strong flavour contaminating nearby substances[238]. The gum is a source of an essential oil which has medicinal properties and is also used as a food flavouring and in perfumery[46, 57, 61].",2,Seed - best sown as soon as the seed is ripe in a greenhouse in autumn[1]. Otherwise sow in April in a greenhouse. Prick out the seedlings into individual pots as soon as they are large enough to handle. Plant them out into their permanent positions whilst still small because the plants dislike root disturbance[1]. Give the plants a protective mulch for at least their first winter outdoors. Division in autumn. This may be inadvisable due to the plants dislike of root disturbance.,W. Asia - Afghanistan to Iran.,Ferula assa-foetida - L.,Scented Plants,,7-10,No
Tonic,Ferula moschata,Musk Root,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Ferula moschata,Moist Soil; Well drained soil; Half Hardy; Full sun,Musk Root,Musk Root,Succeeds in most soils[1]. Requires a deep fertile soil in a sunny position[200]. Plants are hardy to about -5°c[200]. Plants have a long taproot and are intolerant of root disturbance[200]. They should be planted into their final positions as soon as possible.,0,Edible Parts: Edible Uses: Gum None known,Apiaceae or Umbelliferae,../Admin/PlantImages/noplantimage1.JPG; ../Admin/PlantImages/noplantimage2.JPG,None known,Antispasmodic; Dysentery; Nervine; Stimulant; Tonic; Women's complaints,2,Coming Soon,"Gum A gum is extracted from the root. Used as a perfume and an incense[4, 46, 61, 238], it is a musk substitute[1].",1,Seed - best sown as soon as the seed is ripe in a greenhouse in autumn[1]. Otherwise sow in April in a greenhouse. Prick out the seedlings into individual pots as soon as they are large enough to handle. Plant them out into their permanent positions whilst still small because the plants dislike root disturbance[1]. Give the plants a protective mulch for at least their first winter outdoors. Division in autumn. This may be inadvisable due to the plants dislike of root disturbance.,W. Asia - Turkestan to Tibet.,Ferula moschata - (Reinsch.)K.Pol.,,,8-11,No
Tonic,Forsythia suspensa,"Lian Qiao, Weeping forsythia",1,3,https://pfaf.org/user/Plant.aspx?LatinName=Forsythia suspensa,Semi-shade; Fully Hardy; Moist Soil; Full shade; Full sun,"Lian Qiao, Weeping forsythia","Lian Qiao, Weeping forsythia","An easily grown plant, it succeeds in all soil types[202] but prefers a rich soil. Succeeds in limey soils. Grows well in heavy clay soils. It prefers a sunny position but succeeds in semi shade though it is apt to get leggy if grown in the shade of trees[182]. Succeeds against a north-facing wall[219]. Plants are hardy to about -25°c[184]. The flowers are produced quite early in the year and are frost-resistant[182]. Plants are medium to fast growing[202]. Flowers are produced on wood that is more than one year old[202]. Any pruning is best done after the plant has finished flowering[182]. A very ornamental plant, there are several named varieties[182]. This species is notably susceptible to honey fungus[200]. Special Features: Not North American native, Blooms are very showy. In garden design, as well as the above-ground architecture of a plant, root structure considerations help in choosing plants that work together for their optimal soil requirements including nutrients and water. The root pattern is fleshy. Thick or swollen - fibrous or tap root [2-1].",1,"Edible Parts: Leaves Edible Uses: Rutin Young leaves - cooked[105, 177, 179]. Some caution is advised due to the presence of a glycoside[179]. The leaves are rich in rutin[218].",Oleaceae,../Admin/PlantImages/ForsythiaSuspensa2.gif; ../Admin/PlantImages/ForsythiaSuspensa.jpg,"Leaves contain the glycoside Phillyrin[179], its potency is unknown.",Antidote; Antiphlogistic; Antitussive; Cancer; Diuretic; Emmenagogue; Febrifuge; Laxative; Tonic; Urinary; Vermifuge,3,"TEMPERATE ASIA: China (Anhui Sheng (west), Hebei Sheng, Henan Sheng, Hubei Sheng, Shaanxi Sheng, Shandong Sheng, Shanxi Sheng, Sichuan Sheng)","The sub-species F. suspensa sieboldii is a lax grower that roots freely where the branches touch the ground. It makes a very good tall ground cover when planted about 2.5 metres apart each way[208]. Landscape Uses: Border, Erosion control, Espalier, Massing, Screen.",3,"Seed - sow spring in a cold frame. The seed usually germinates within 2 months[K]. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for at least their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Cuttings of half-ripe wood 10 - 15cm taken at a node, July/August in a frame. Plant out in autumn or spring. A very high percentage, they root within 3 weeks[78]. Cuttings of mature wood in a sheltered outdoor bed. Good percentage[78]. Layering in spring or summer. Plants often self-layer[K].",E. Asia - E. China.,Forsythia suspensa - (Thunb.)Vahl.,Espalier Food Forest Ground cover,"Bloom Color: Yellow. Main Bloom Time: Early spring, Mid spring. Form: Upright or erect, Vase.",5-8,No
Tonic,Fragaria vesca,"Wild Strawberry, Woodland strawberry, California strawberry",3,3,https://pfaf.org/user/Plant.aspx?LatinName=Fragaria vesca,Moist Soil; Full sun; Semi-shade,Californian Strawberry,Californian Strawberry,"Prefers a fertile, well-drained, moisture retentive soil in a sunny position[200]. Tolerates semi-shade though fruit production will be reduced. A vigorous plant, spreading rapidly by means of runners. It flowers freely with us, but has not set fruit on our Cornwall trial ground as yet, possibly because all our plants are one clone[K].",2,"Edible Parts: Fruit Leaves Edible Uses: Coffee Tea Fruit - raw[105, 161, 257]. Aromatic, sweet and succulent[183]. The fruit can also be dried for later use[177, 183]. The fruit is about 15mm in diameter[200]. The fresh or dried leaves are used to brew an excellent tea[183].",Rosaceae,../Admin/PlantImages/FragariaCalifornica.gif; ../Admin/PlantImages/Fragaria_vesca2.JPEG,None known,Antidiarrhoeal; Antirheumatic; Astringent; Diuretic; Dysentery; Laxative; Tonic,1,"NORTHERN AMERICA: United States, Oregon (southwest), California, Mexico, Baja California (Norte), Baja California Sur,",Cosmetic Teeth None known,0,"Seed - sow early spring in a greenhouse. The seed can take 4 weeks or more to germinate. The seedlings are very small and slow-growing at first, but then grow rapidly. Prick them out into individual pots when they are large enough to handle and plant them out during the summer. Division of runners, preferably done in July/August in order to allow the plants to become established for the following years crop[200]. They can also be moved in the following spring if required, though should not then be allowed to fruit in their first year. The runners can be planted out direct into their permanent positions.",South-western N. America - California.,Fragaria vesca - Cham.&Schltdl.,Dynamic accumulator Food Forest,,Coming soon,No
Tonic,Fragaria vesca 'Semperflorens',Alpine Strawberry,5,3,https://pfaf.org/user/Plant.aspx?LatinName=Fragaria vesca 'Semperflorens',Fully Hardy; Moist Soil; Full sun; Semi-shade,Alpine Strawberry,Alpine Strawberry,"Prefers a fertile, well-drained, moisture retentive soil in a sunny position[27, 200]. Tolerates semi-shade though fruit production will be reduced when plants are growing in such a position. Prefers some shade according to some reports[3, 31]. Plants are often found on clay soils[31] and on soils overlying chalk[13]. Alpine strawberries appreciate a mulch of pine or spruce leaves[18]. The alpine strawberry is often cultivated in the garden for its edible fruit. This fruit is fairly small but exquisitely flavoured and is freely produced from June to November. There are some named varieties[183]. It is not very feasible to grow this plant on a commercial scale because it is very labour intensive to pick and it is also hard to get the fruit to market in good quality. However, it is sometimes grown by specialised growers for the luxury market. The main drawback of growing this plant is that it tends to lose vigour after about 2 - 3 years, partly due to virus diseases and partly because the plant flowers and fruits so freely that it exhausts itself.",5,"Edible Parts: Fruit Leaves Edible Uses: Coffee Tea Fruit - raw, cooked or made into preserves[183]. Sweet and succulent with an exquisite taste, they are far superior to the cultivated strawberry[K]. The fruit is fairly small, up to 15mm in diameter, but it is produced abundantly from early summer until the frosts of autumn[K]. Young leaves - raw or cooked[52, 105]. Added to salads or used as a potherb[183]. The fresh or dried leaves are used as a tea substitute[7, 177, 183]. The root has been used as a coffee substitute in India[240].",Rosaceae,../Admin/PlantImages/FragariaVescaSemperflorens.jpg; ../Admin/PlantImages/FragariaVescaSemperflorens2.jpg,None known,Astringent; Diuretic; Laxative; Tonic,3,,"Compost Teeth The flowers are an alternative ingredient of 'Quick Return' herbal compost activator[32]. This is a dried and powdered mixture of several herbs that can be added to a compost heap in order to speed up bacterial activity and thus shorten the time needed to make the compost[K]. The fruit is used as a tooth cleaner[4]. The fresh fruit removes stains from teeth if it is allowed to remain for about 5 minutes[4]. The fruit is also used cosmetically in skin-care creams[7]. It tones and whitens the skin, combats wrinkles, lightens freckles, soothes sunburn and whitens the teeth[244].",0,"Seed - sow early spring in a greenhouse. The seed can take 4 weeks or more to germinate. The seedlings are very small and slow-growing at first, but then grow rapidly. Prick them out into individual pots when they are large enough to handle and plant them out during the summer.","Most of Europe, including Britain, to temperate Asia.",Fragaria vesca 'Semperflorens' - L.,,,4-8,No
Tonic,Frasera caroliniensis,American Columbo,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Frasera caroliniensis,Fully Hardy; Moist Soil; Full sun; Semi-shade,American Columbo,American Columbo,"Requires a moist but well-drained position and a stony peaty soil[1, 200]. Requires an acidic soil[200]. Plants are hardy to at least -12°c[200]. Plants can be grown in a woodland garden[200].",0,None known,Gentianaceae,../Admin/PlantImages/FraseraCaroliniensis.gif; ../Admin/PlantImages/FraseraCaroliniensis2.gif,None known,Bitter; Cathartic; Dysentery; Emetic; Poultice; Stimulant; Tonic,2,"NORTHERN AMERICA: Canada (Ontario (south)), United States (Indiana, Michigan (s.?), New York (west), Ohio, Pennsylvania (west), Illinois, Missouri (southeast), Oklahoma (east), Alabama, Arkansas, Georgia (north), Kentucky, Louisiana, Mississippi, North Carolina, South Carolina (west), Tennessee)",None known,0,"Seed - sow spring in a greenhouse[200]. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for at least their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Division in late winter[200].","Eastern N. America - New York to Ontario and Wisconsin, south to Georgia and Tennessee.",Frasera caroliniensis - Walter.,,,Coming soon,No
Tonic,Fraxinus americana,White Ash,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Fraxinus americana,Semi-shade; Fully Hardy; Well drained soil; Moist Soil; Full sun,White Ash,White Ash,"Landscape Uses:Firewood, Aggressive surface roots possible, Pollard, Street tree. Prefers a deep loamy soil, even if it is on the heavy side[1, 200]. Most members of this genus are gross feeders and require a rich soil[200]. Succeeds in exposed positions[200] and in alkaline soils[11]. Tolerates atmospheric pollution[200]. Young plants tolerate forest shade[226]. One of the most valuable hardwood timber trees in N. America[226], saplings grow slowly at first, but the growth rate speeds up over the next 50 years[229]. This species is planted on a small scale, mainly in E. Europe, as a timber tree[50]. It has the potential as a forestry tree in Britain, succeeding under conditions that are too dry or frosty for the native ash, F. excelsior[11]. A very ornamental tree[1], it is often confused in cultivation with F. pennsylvanica[50]. Dioecious. Male and female plants must be grown if seed is required. Male trees usually flower heavily each year, but female trees only flower heavily every 2 - 3 years[229]. Special Features: North American native, Attracts butterflies, Inconspicuous flowers or blooms.",1,Edible Parts: Edible Uses: Drink A bitter tasting syrup is drawn from the tree[226]. The report gives no more details and does not directly say that the syrup was used as food. It was quite possibly only used medicinally[K].,Oleaceae,../Admin/PlantImages/FraxinusAmericana.gif; ../Admin/PlantImages/FraxinusAmericana2.gif,None known,Aphrodisiac; Astringent; Bitter; Stings; Tonic,2,"NORTHERN AMERICA: Canada (Québec (south), Nova Scotia, Ontario (south), Prince Edward Island, New Brunswick), United States (Connecticut, Indiana, Maine, Massachusetts, Michigan, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Vermont, West Virginia, Illinois, Iowa, Kansas (east), Minnesota, Missouri, Nebraska (east), Oklahoma, Wisconsin, Alabama, Arkansas, Delaware, Florida (north), Georgia, Kentucky, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Texas (east))","Dye Repellent Shelterbelt Wood The leaves are said to repel rattlesnakes and have been worn on the feet of people travelling in rattlesnake country[213]. There are some doubts over the efficacy of this[213]. A yellow dye is obtained from the bark[226]. Wood - strong, hard, heavy, tough, elastic, close grained, moderately durable[46, 82, 227]. It weighs 41lb per cubic foot, seasons well, takes a good polish and is shock resistant[227]. One of the most valuable of the North American timbers[82, 226], it is much used for tool handles, hockey sticks, baseball bats, the interior of buildings, musical instruments, furniture, woodenware etc[46, 82, 227, 274]. As a fuel it is comparable in quality to such excellent species as oak (Quercus spp) and hickory (Carya spp)[226].",4,"The seed is best harvested green - as soon as it is fully developed but before it has fully dried on the tree - and can then be sown immediately in a cold frame[80]. It usually germinates in the spring[80]. Stored seed requires a period of cold stratification and is best sown as soon as possible in a cold frame[200]. Prick out the seedlings into individual pots when they are large enough to handle and grow them on in a cold frame for their first winter. Plant them out into their permanent positions or a nursery bed in late spring or early summer of the following year. If you have sufficient seed then it is possible to sow it directly into an outdoor seedbed, preferably in the autumn. Grow the seedlings on in the seedbed for 2 years before transplanting either to their permanent positions or to nursery beds.","Eastern N. America - Nova Scotia to Florida, west to Nebraska and Texas.",Fraxinus americana - L.,,"Bloom Color: Green. Main Bloom Time: Early spring, Late spring, Mid spring. Form: Oval, Pyramidal, Rounded.",4-9,Yes
Tonic,Fraxinus excelsior,"Ash, European ash, Common Ash",2,2,https://pfaf.org/user/Plant.aspx?LatinName=Fraxinus excelsior,Fully Hardy; Moist Soil; Wet Soil; Full sun,"Ash, European ash, Common Ash","Ash, European ash, Common Ash","Landscape Uses:Firewood, Pollard, Specimen. Prefers a deep loamy soil, even if it is on the heavy side[1, 200]. Most members of this genus are gross feeders and require a rich soil[11, 200]. Plants can succeed in very exposed positions, including maritime exposure, though they can become wind-shaped[49]. Thrives in alkaline soils[11] but not in shallow soils over chalk. Tolerates a pH as low as 4.5, but prefers a base-rich soil above 5.5[186]. Trees are surprisingly tolerant of seasonally water-logged soils[186]. Dislikes dryness at the roots, especially in late spring[186]. Very intolerant of shade, young plants fail to develop properly in such a position and often die. Although the dormant plant is very cold-hardy, the young growth in spring, even on mature plants, is frost-tender and so it is best to grow the plants in a position sheltered from the early morning sun[K]. A fast growing tree, it is sometimes cultivated for its valuable timber. Very tolerant of cutting, ash was also at one time frequently coppiced for its wood[186]. However, modern use of plastics have reduced its economic values. There are many named varieties, selected for their ornamental value[11]. Trees have a light canopy and cast little shade[186]. A food plant for many insect species, there are 41 associated insect species[24, 30]. Trees can be male, female, monoecious or hermaphrodite, they can also change sex from year to year[11]. Trees take 30 - 40 years to flower from seed[186]. The flowers are produced on one-year old wood[7]. This species is notably resistant to honey fungus[200]. Special Features: Not North American native, Inconspicuous flowers or blooms. In garden design, as well as the above-ground architecture of a plant, root structure considerations help in choosing plants that work together for their optimal soil requirements including nutrients and water. The root pattern is branching: a heart root, dividing from the crown into several primary roots going down and out [2-1].",2,"Edible Parts: Manna Oil Seed Edible Uses: Oil Tea Immature seed - usually pickled by steeping in salt and vinegar, and then used as a condiment for other foods[2, 8, 66, 183]. The leaves are sometimes used as an adulterant for tea[2, 177, 183]. A manna is obtained from the tree[183]. No further details are given. An edible oil similar to sunflower (Helianthus annuus) oil is obtained from the seed[7].",Oleaceae,../Admin/PlantImages/FraxinusExcelsior.gif; ../Admin/PlantImages/FraxinusExcelsior2.gif,"Poisonous to ruminants[76], it has also caused dermatitis in some people[76].",Antiperiodic; Astringent; Carminative; Cathartic; Diaphoretic; Diuretic; Laxative; Purgative; Tonic,2,"TEMPERATE ASIA: Iran, Syria, Russian Federation-Ciscaucasia (Ciscaucasia), Armenia, Azerbaijan, Georgia EUROPE: Denmark, Ireland, Norway, Czechoslovakia, Austria, Switzerland, Hungary, Netherlands, Poland, Russian Federation (European part), Estonia, Lithuania, Latvia, Moldova, Ukraine (incl. Krym), Bulgaria, Italy, Romania, Spain, France","Dye Fuel Oil Shelterbelt String Tannin Wood A green dye is obtained from the leaves[7]. The bark is a source of tannin[4]. A tying material can be obtained from the wood[6] (does this mean the bark?). Very tolerant of extreme exposure and relatively fast growing, though often windshaped in exposed positions, it can be grown as a shelterbelt tree[49, 200]. However, it is late coming into leaf and also one of the first trees to lose its leaves in the autumn and this makes it less suitable in a shelter belt. Wood - hard, light, flexible, strong, resilient. A very valuable wood, it is much used for tool handles, oars, furniture, posts etc[4, 6, 7, 13, 46, 66]. An excellent fuel, burning well even when green[6]. There is some doubt over how well the green wood burns with several people claiming that it needs to be properly seasoned[K].",3,"The seed is best harvested green - as soon as it is fully developed but before it has fully dried on the tree - and can then be sown immediately in a cold frame[80]. It usually germinates in the spring[80]. Stored seed requires a period of cold stratification and is best sown as soon as possible in a cold frame[200]. Approximately 5% of stored seed will germinate in the first year, the remainder germinating in the second year[186]. Prick out the seedlings into individual pots when they are large enough to handle and grow them on in a cold frame for their first winter. Plant them out into their permanent positions or a nursery bed in late spring or early summer of the following year. If you have sufficient seed then it is possible to sow it directly into an outdoor seedbed, preferably in the autumn. Grow the seedlings on in the seedbed for 2 years before transplanting either to their permanent positions or to nursery beds. Cuttings of mature wood, placed in a sheltered outdoor bed in the winter, sometimes strike.","Europe, including Britain south of latitude 64°, to N. Africa and W. Asia.",Fraxinus excelsior - L.,Attracts Wildlife Food Forest,"Bloom Color: Green. Main Bloom Time: Early spring, Late spring, Mid spring. Form: Rounded.",5-8,No
